もっての外/もってのほか/とんでもないこと/jp
あっさり/-/easily
打ち砕く/うちくだく/to smash
憂い/うれい/sorrow
懸命/けんめい/eagerness
盗賊/とうぞく/thief
街道/かいどう/highway (Edo period)
南/みなみ/south
風光明美/ふうこうめいび/natural beauty
名高い/なだかい/famous
奏でる/かなでる/to play (string instruments)
岸/きし/coast
旗/はた/flag
裁縫/さいほう/sewing
頂戴/ちょうだい/receiving
殴打/おうだ/hit
此度/こたび/this occasion
闘技場/とうぎじょう/arena
迂回/うかい/detour
樹海/じゅかい/sea of trees
野垂れ死に/のたれじに/dying by the roadside
穏便/おんびん/gentle
呪詛/じゅそ/curse
縄/なわ/rope
暴虐/ぼうぎゃく/tyranny
断末摩/だんまつま/death agony
遺体/いたい/corpse
尋ねる/たずねる/to ask
詮索好き/せんさくずき/nosy person;
集落/しゅうらく/village;
同胞/どうほう/Brotherhood
尖る/とがる/to become sharp
僻地/へきち/remote place
築く/きずく/to build;
わだかまり/-/ค้างคาใจ/th
水に流す/みずにながす/to forgive and forget;
偶に/たまに/occasionally
わんぱく/わんぱく/naughtiness
鍛治/かじ/smithing
間隔/かんかく/space
秘境/ひきょう/unexplored region
尺度/しゃくど/linear measure
峡谷/きょうこく/canyon
崖/がけ/cliff
物陰/ものかげ/cover; 
些細/ささい/trivial; slight
謙遜/けんそん/humble
尚更/なおさら/still less
天災/てんさい/natural calamity
前途/ぜんと/the journey ahead
呪い/まじない/charm
遭難死/そうなんし/accidental death
斬撃/ざんげき/slashing attack
砲撃/ほうげき/bombarding;
弓矢/ゆみや/bow and arrow
射貫く/いぬく/shoot through
寿命/じゅみょう/life span
自暴自棄/じぼうじき/desperation
紳士的/しんしてき/gentlemanly
じめじめ/-/damp and humid
採れる/とれる/to be gathered (mushrooms)
呆れる/あきれる/to be amazed
囚われる/とらわれる/to be captured;
補充/ほじゅう/to replenish
狡猾/こうかつ/sly; cunning; crafty
狡猾/こうかつ/sly
森林/しんりん/forest
潜む/ひそむ/to lurk;
屈強/くっきょう/muscular; sturdy
必要不可欠/ひつようふかけつ/essential
脅迫/きょうはく/threat
物乞い/ものごい/beggar
富裕層/ふゆうそう/wealthy people
お陰/おかげ/help
蓄え/たくわえ/store
くたびれる/-/to get tired
前衛芸術/ぜんえいげいじゅつ/avant-garde art
露骨/ろこつ/ありのまま外に表すこと/jp
不公平な/ふこうへい/unfairness
埒があかない/らちがあかない/getting nowhere;
処遇/しょぐう/dealing with
善意/ぜんい/good will
無下に/むげに/flat or cold (refusal)
需要/じゅよう/demand
負債/ふさい/debt

