懐く/なつく/to become emotionally attached
幻聴/げんちょう/auditory hallucination
浮浪者/ふろうしゃ/vagrant
たまり場/たまりば/gathering spot;
弾む/はずむ/to spring
何卒/なにとぞ/please(humble)
憲法/けんぽう/constitution
肝心/かんじん/essential
寝具/しんぐ/bedding
谷間/たにま/valley
恍惚/こうこつ/ecstasy
影が薄い/かげがうすい/ not standing out
執筆/しっぴつ/writing (as a profession)
宗教/しゅうきょう/religion
創造性/そうぞうせい/creativity
享受/きょうじゅ/受け入れて、味わい楽しむこと/jp
断片/だんぺん/fragment
栄える/さかえる/to prosper
捗る/はかどる/to make progress
怠け癖/なまけぐせ/Lazy habit
だらける/to be lazy
行き詰る/いきづまる/to reach the limits
景気/けいき/business (condition)
滞納/たいのう/non-payment
富豪/ふごう/wealthy person
羽目になる/はめになる/to get stuck with (some job)
出没/しゅつぼつ/appearing frequently
討伐/とうばつ/subjugation
屋敷/やしき/mansion
ご大層/ごたいそう/exaggerated story(humble)
生還/せいかん/returning alive
徘徊/はいかい/roaming
急遽/きゅうきょ/in a hurry
耐性/たいせい/resistance (antibiotics)
獰猛/どうもう/ferocity
風評/ふうひょう/rumor
拘わる/かかわる/to be affected
朗報/ろうほう/good news
旦那/だんな/master (of a house)
稀に/まれに/rare; seldom
搬送/はんそう/transportation
荒廃/こうはい/ruin
並大抵/なみたいてい/ordinary
鍛錬/たんれん/Discipline
嫉妬/しっと/jealousy
怠情/たいだ/laziness
色欲/しきよく/lust
憤怒/ふんど/anger
頑丈/がんじょう/solid
雑貨屋/ざっかや/general store
治療/ちりょう/cure
後を絶たない/あとをたたない/endless
輩/はい/gang
遺品/いひん/things belonged to the deceased
手負い/ておい/wounded
万全/ばんぜん/perfection
仕留める/しとめる/to bring down (a bird)
長居/ながい/long visit
ずたずた/-/into shreds
湿地/しっち/wetland; wetlands
旨い/うまい/skillful
腹いせ/はらいせ/revenge
惹く/ひく/to attract
根に持つ/ねにもつ/to hold a grudge; to hold something against somebody
奢る/おごる/to give (someone) a treat
石碑/せきひ/stone monument
痕跡/こんせき/trace
うろ覚え/うろおぼえ/vague memory
擁護/ようご/protect (rights)
大衆/たいしゅう/general public
